Timestamp,Inner_Env,Outer_Env,Index_Dist,Mid_Dist,Ring_Dist,Pinky_Dist
1775542597.0754025,0.0,0.0,0.0,0.0,0.0,0.0
1775542597.1667826,487.9,582.44,0.0,0.0,0.0,0.0
1775542597.1964123,487.2,582.52,0.0,0.0,0.0,0.0
1775542597.2285461,487.8,583.0,0.0,0.0,0.0,0.0
1775542597.2470372,487.74,582.96,0.0,0.0,0.0,0.0
1775542597.2908127,485.84,583.46,0.0,0.0,0.0,0.0
1775542597.3127816,485.54,583.16,0.0,0.0,0.0,0.0
1775542597.3338153,485.44,583.82,0.0,0.0,0.0,0.0
1775542597.3683054,485.24,583.56,0.0,0.0,0.0,0.0
1775542597.4027648,486.02,584.2,0.0,0.0,0.0,0.0
1775542597.4308753,485.94,584.06,0.0,0.0,0.0,0.0
1775542597.46642,484.6,584.36,0.0,0.0,0.0,0.0
1775542597.4934788,484.4,584.06,0.0,0.0,0.0,0.0
1775542597.5298843,482.42,584.1,0.0,0.0,0.0,0.0
1775542597.5559418,481.88,584.16,0.0,0.0,0.0,0.0
1775542597.6046169,481.1,584.42,0.0,0.0,0.0,0.0
1775542597.6394477,481.08,584.42,0.0,0.0,0.0,0.0
1775542597.6743073,479.2,584.3,0.0,0.0,0.0,0.0
1775542597.7087376,477.04,584.44,0.0,0.0,0.0,0.0
1775542597.7370505,476.6,584.42,0.0,0.0,0.0,0.0
1775542597.7643745,476.18,584.62,0.0,0.0,0.0,0.0
1775542597.7989507,473.42,584.52,0.0,0.0,0.0,0.0
1775542597.833707,472.42,584.52,0.0,0.0,0.0,0.0
1775542597.861539,472.84,584.7,0.0,0.0,0.0,0.0
1775542597.8969066,472.08,584.74,0.0,0.0,0.0,0.0
1775542597.9309454,471.44,585.26,0.0,0.0,0.0,0.0
1775542597.9587014,471.68,585.24,0.0,0.0,0.0,0.0
1775542597.9935622,471.68,585.8,0.0,0.0,0.0,0.0
1775542598.0352316,472.6,585.62,0.0,0.0,0.0,0.0
1775542598.0703504,472.78,586.06,0.0,0.0,0.0,0.0
1775542598.104087,473.76,586.12,0.0,0.0,0.0,0.0
1775542598.1270323,473.42,586.36,0.0,0.0,0.0,0.0
1775542598.1579535,473.08,586.3,0.0,0.0,0.0,0.0
1775542598.1910946,472.24,586.46,0.0,0.0,0.0,0.0
1775542598.2231026,471.72,586.36,0.0,0.0,0.0,0.0
1775542598.2557676,471.56,586.5,0.0,0.0,0.0,0.0
1775542598.2866976,471.28,586.54,0.0,0.0,0.0,0.0
1775542598.3214388,471.3,586.84,0.0,0.0,0.0,0.0
1775542598.3520584,471.62,586.82,0.0,0.0,0.0,0.0
1775542598.3845325,470.76,586.92,0.0,0.0,0.0,0.0
1775542598.4322112,469.88,586.86,0.0,0.0,0.0,0.0
1775542598.4633725,469.42,587.0,0.0,0.0,0.0,0.0
1775542598.4958963,468.86,587.02,0.0,0.0,0.0,0.0
1775542598.5271833,468.44,586.9,0.0,0.0,0.0,0.0
1775542598.5600612,467.36,586.96,0.0,0.0,0.0,0.0
1775542598.5921147,466.16,586.82,0.0,0.0,0.0,0.0
1775542598.6242907,465.06,587.0,0.0,0.0,0.0,0.0
1775542598.6543257,464.28,586.8,0.0,0.0,0.0,0.0
1775542598.6880693,464.36,587.06,0.0,0.0,0.0,0.0
1775542598.720435,465.98,587.14,0.0,0.0,0.0,0.0
1775542598.7513866,465.62,587.04,0.0,0.0,0.0,0.0
1775542598.7994993,466.02,587.44,0.3162331464890353,0.4200724216999278,0.46025057756653776,0.4633660132871944
1775542598.8466508,465.84,587.24,0.32906088812287365,0.43555168251195775,0.4656685027079119,0.4758418404932778
1775542598.8929205,465.52,587.34,0.3406629591631404,0.4451027037904689,0.46647825293048883,0.4742746759658583
1775542598.924645,465.4,587.38,0.3418927352121926,0.4429057657579107,0.46314091924579476,0.46892768191089357
1775542598.9578853,466.42,587.5,0.34542066965791657,0.44716826194160364,0.4568136207320238,0.47671240500715983
1775542598.9888916,466.06,587.7,0.35450190678517285,0.44802914823200324,0.4570503627537772,0.48145392384925195
1775542599.0225577,466.02,587.52,0.35879310332138176,0.4621603199420183,0.46748302455517926,0.4852887713296989
1775542599.052984,465.82,587.4,0.36207313938555513,0.4708345268412538,0.4806244283294794,0.4957211387028002
1775542599.0856507,465.02,587.22,0.35993694034399587,0.4602318690597779,0.46904913631618816,0.5003996091719088
1775542599.1170096,464.68,587.04,0.35864492610568277,0.46264485021459884,0.4741331217544771,0.4961243190136941
1775542599.1489832,464.68,587.28,0.35562418132657625,0.45886533290118975,0.4757485621107586,0.5118754928926645
1775542599.18076,465.32,587.34,0.35534719385746216,0.45722954509124736,0.47904209910724077,0.5048780921554142
1775542599.2130904,465.34,587.52,0.3511030162319105,0.44871083481418095,0.4738156139226977,0.5054959645170134
1775542599.245121,465.28,587.38,0.34736069891385657,0.44785231226798095,0.47095386361735686,0.509658680152066
1775542599.2789638,465.32,587.5,0.3482186151828225,0.44983134250510065,0.46638872539090853,0.4972600375289896
1775542599.3249326,465.04,587.42,0.3472621654957481,0.45251710492410196,0.47140067819604003,0.5102417429387673
1775542599.3559668,466.24,587.8,0.3434333522602372,0.4479217780318174,0.46182232208949964,0.5030775070975508
1775542599.389007,467.78,587.7,0.3424543551159947,0.43977340888642485,0.4498601600731717,0.5087571625852516
1775542599.4209151,469.4,588.04,0.3454190329874612,0.4416357899714716,0.4539299797211643,0.4864002520089789
1775542599.4529197,470.26,587.84,0.334020479797436,0.4350679428345757,0.4559366662947787,0.5076752303988366
1775542599.4839623,472.08,588.36,0.33109286033346175,0.428132105659469,0.4454313810816551,0.49205006189221123
1775542599.5171804,472.58,588.08,0.33839147528542896,0.4290887114222253,0.4368082248962594,0.4948585052205747
1775542599.5488,473.0,588.56,0.34040327564388156,0.4320160731651802,0.44214906092311484,0.5155030994289127
1775542599.5824583,472.56,588.56,0.3431301347503968,0.4320490223477564,0.45574317689340715,0.5299822461354375
1775542599.6130092,473.16,588.7,0.33852685066564486,0.42608198753310567,0.45466725987217793,0.5351505857438006
1775542599.6464522,473.62,588.62,0.3398949880441307,0.4242422584088429,0.4459247064886719,0.5169759609552059
1775542599.6796863,472.42,588.64,0.33347334855484567,0.41948454745267044,0.44756259120701675,0.5170414202428152
1775542599.7108853,472.4,588.74,0.3326610081930161,0.4174165297662391,0.4415673620672344,0.5113360883778937
1775542599.7561367,473.16,588.86,0.3247261577778987,0.4138074917441146,0.4289606162358752,0.49485399682676584
1775542599.7878942,472.42,588.84,0.32139474610587215,0.40651739310195084,0.4280663523138879,0.4840633397355938
1775542599.8210595,472.44,589.06,0.3157672739200117,0.3985890173129874,0.4106616617727785,0.4735490636798412
