Timestamp,Label,Inner_Env,Outer_Env,Ratio,Inner_Var,Outer_Var
1782372607.2636476,4,287.84,104.96,2.742378022652648,16.724878222222188,54.39443555555555
1782372613.0451863,4,307.08,83.9,3.6600714700825803,74.62295822222231,10.952899555555565
1782372614.9519355,4,346.62,121.62,2.8500246435617114,957.8872248888888,291.31092266666667
1782372616.565035,4,367.96,97.44,3.7762725392418663,1903.340984888889,135.88459733333335
1782372618.5912995,4,264.14,78.14,3.38034293088888,106.93066666666658,37.70116622222221
1782372620.4261453,4,272.06,91.94,2.959103731138746,245.83422222222222,132.97351822222222
1782372621.8858073,4,272.26,76.22,3.5720282921539193,353.0621155555555,38.34884622222225
1782372623.1711843,4,259.48,95.6,2.71422591303111,223.030656,69.42749155555558
1782372624.6870744,4,278.42,86.72,3.2105626936051355,538.5034595555557,33.166531555555544
1782372626.226802,4,253.26,87.48,2.8950616953010777,225.81249066666652,137.6780088888889
1782372635.9078412,3,616.94,90.24,6.836657725657606,18930.19218488889,64.50659555555556
1782372638.8702898,3,283.48,58.26,4.86577403251332,138.91287822222228,229.70649599999993
1782372648.4307015,3,277.08,90.66,3.05625410262239,236.05001955555556,89.20448000000002
1782372650.0500884,3,307.48,55.76,5.514347103401237,2447.6487360000006,29.842549333333345
1782372651.5901666,3,266.78,53.62,4.975382227240167,2134.9152355555557,10.377504000000004
1782372653.2303622,3,333.62,74.92,4.453016491550768,2202.679246222222,29.24545066666667
1782372654.8308074,3,323.56,59.32,5.454484061792245,1771.7483626666667,39.702517333333326
1782372661.4221475,3,260.3,61.44,4.236653576877384,582.0204515555554,32.12614399999999
1782372662.9877443,3,287.1,54.68,5.250548550648345,3191.6419662222224,81.51917155555557
1782372665.9694417,3,298.0,42.82,6.95936462028574,4657.842851555554,51.71415822222221
1782372667.7824602,2,435.9,206.4,2.111918594418999,451.9977955555553,328.1532728888889
1782372672.3632758,2,526.04,283.24,1.8572235494378493,1185.0338382222221,1421.0744995555558
1782372675.423687,2,1796.16,146.04,12.299096053827062,152209.81619555556,354.81540622222224
1782372678.8296232,2,384.22,155.7,2.4676942680302236,638.4143573333337,693.7280355555556
1782372680.509593,2,519.68,139.24,3.732260817780373,369.80259555555523,176.47451733333324
1782372682.2054627,2,789.44,144.38,5.467793285304106,5909.347758222224,473.3883982222223
1782372683.945191,2,472.44,147.1,3.2116927042033128,384.1248995555555,78.74697599999993
1782372685.6452694,2,646.56,159.42,4.055701894017678,4032.8127893333312,189.56767288888886
1782372687.1087286,2,1869.14,176.02,10.618906882065067,143852.24605155556,681.1733155555553
1782372689.0260463,2,649.88,165.26,3.932470023402699,763.7396159999992,505.0386915555555
