Timestamp,Label,Inner_Env,Outer_Env
1782289813.1767526,1,1414.06,357.02
1782289815.6565335,1,1344.88,330.78
1782289818.2567093,1,1088.1,317.86
1782289820.737305,1,1159.04,351.16
1782289823.048699,1,1131.74,348.24
1782289825.3696978,1,1305.74,349.68
1782289827.3957987,1,1147.76,327.54
1782289829.5564237,1,1127.98,361.0
1782289831.9704673,1,1060.66,339.2
1782289834.1962163,1,1177.18,360.28
1782289836.276578,1,1170.86,428.34
1782289838.491864,1,1179.34,359.42
1782289840.7319183,1,1150.72,388.24
1782289843.212649,1,1144.44,362.2
1782289845.332875,1,1114.74,401.06
1782289847.5732915,1,1024.54,393.58
1782289849.9537528,1,1058.14,355.06
1782289852.2139022,1,1150.14,380.0
1782289854.3344245,1,1102.28,355.28
1782289856.594982,1,1136.08,361.24
1782289862.115933,4,1448.46,266.6
1782289865.376349,4,1410.06,285.92
1782289868.297045,4,1362.96,262.48
1782289871.1564736,4,1497.4,257.98
1782289873.3969755,4,1339.56,247.88
1782289875.6972396,4,1338.32,255.3
1782289877.7576127,4,1328.28,253.9
1782289879.9097757,4,1316.44,281.52
1782289882.1968431,4,1314.4,300.98
1782289884.2699385,4,1336.6,298.08
1782289886.5101626,4,1256.36,256.4
1782289888.4507093,4,1278.06,256.4
1782289890.3312237,4,1287.22,263.66
1782289892.3716307,4,1295.94,268.58
1782289894.336952,4,1304.94,265.4
1782289896.1923645,4,1299.8,250.26
1782289898.212761,4,1324.2,189.4
1782289900.0730093,4,1324.3,220.58
1782289901.933127,4,1263.7,239.02
1782289903.6567512,4,1302.44,240.02
1782289907.6764529,3,2444.0,244.42
1782289910.0753603,3,653.8,259.84
1782289912.1952622,3,654.86,258.72
1782289914.3761299,3,605.42,257.56
1782289916.5758283,3,555.32,257.82
1782289918.7364085,3,499.4,227.36
1782289920.696432,3,384.42,267.92
1782289923.1368752,3,306.38,288.7
1782289925.396327,3,339.84,258.9
1782289927.556596,3,364.38,289.88
1782289929.728406,3,332.78,297.26
1782289932.016807,3,381.68,307.72
1782289934.25688,3,356.32,295.64
1782289936.516053,3,356.86,289.2
1782289938.7969437,3,338.0,296.62
1782289941.074414,3,2444.0,290.96
1782289949.5716338,3,448.6,303.26
1782289951.691961,3,454.54,306.84
1782289953.8523924,3,2444.0,304.2
1782289956.3928132,3,2444.0,297.58
1782289959.5565863,2,1895.48,964.78
1782289961.9940696,2,1981.04,867.28
1782289964.0365982,2,1887.16,743.44
1782289966.2145612,2,1905.52,714.72
1782289968.4765072,2,1992.98,1045.24
1782289970.7354295,2,1928.72,681.8
1782289972.7360623,2,1842.62,618.04
1782289985.9280474,2,2444.0,648.46
1782289989.1690722,2,1904.32,573.52
1782289991.632071,2,2365.04,780.04
1782289993.8098893,2,2444.0,583.94
1782289995.916258,2,2444.0,709.5
1782289997.9956193,2,2403.98,743.46
1782289999.9109755,2,1820.06,569.74
1782290001.9713395,2,2444.0,686.98
1782290003.9513197,2,1949.38,563.7
1782290005.8520026,2,2444.0,576.82
1782290007.7964964,2,2444.0,635.86
1782290009.5966556,2,1931.24,636.18
1782290011.7331123,2,1872.02,568.24
