Timestamp,Label,Inner_Env,Outer_Env,Ratio,Inner_Var,Outer_Var
1782375830.6022031,5,573.9,901.58,0.6365491685301923,0.5098062222222083,1.6299626666666838
1782375831.5826683,5,572.58,901.7,0.6350005538039253,0.249731555555549,3.035264000000005
1782375832.5429275,5,572.42,898.56,0.6370414878950303,0.38991288888889364,2.8428159999999454
1782375833.5454578,5,573.14,901.52,0.6357485129162431,0.6100728888888854,2.453592888888885
1782375834.5232596,5,570.7,899.92,0.6341674808492228,0.37865955555556374,3.116330666666679
1782375835.5255482,5,570.56,896.54,0.6364021676262049,0.1015182222222224,4.569208888888921
1782375836.50365,5,571.52,895.62,0.6381277766930977,0.3572693333333507,1.402232888888895
1782375837.5038579,5,572.66,890.82,0.6428459165231517,0.6271395555555455,3.194944000000011
1782375838.5038083,5,575.32,889.28,0.6469503411220873,0.704878222222226,3.5256426666666223
1782375839.465995,5,576.62,890.08,0.6478294078646533,0.7347662222222199,2.112131555555543
1782375841.884531,4,581.78,886.44,0.6563106350612442,1.1247288888888711,3.715971555555536
1782375844.3052852,4,587.54,886.86,0.6624946432779755,2.7721706666666477,2.2923626666666905
1782375846.3656056,4,590.0,886.64,0.6654335461230787,1.0412622222222154,2.440504888888914
1782375848.406048,4,589.98,882.96,0.6681842884522693,0.5174826666666656,3.9560248888888596
1782375852.7662218,4,589.08,888.52,0.6629901401623035,0.9085688888889057,7.888291555555551
1782375854.725504,4,586.48,893.6,0.6563115480569477,6.305749333333297,12.009272888888862
1782375856.8059294,4,583.76,895.62,0.6517942870282103,0.6975288888888685,4.333944888888848
1782375858.697438,4,586.76,904.86,0.6484539037547754,9.705678222222245,8.510915555555547
1782375860.5435622,4,580.16,894.04,0.6489195107054276,0.7804515555555608,9.551598222222271
1782375863.2987173,4,592.3,915.64,0.6468699481817417,24.47261155555553,25.815171555555466
1782375865.6584249,3,659.34,897.34,0.7347716576383849,4604.095864888889,4.469795555555543
1782375867.5186121,3,661.04,895.48,0.7381962737993073,1493.1974222222227,1.5960355555555332
1782375869.699007,3,652.82,893.3,0.7307959244030048,1648.095224888889,8.721752888888846
1782375871.7196038,3,624.72,894.68,0.6982608299076085,496.4252728888889,3.6930773333333757
1782375873.8799298,3,645.78,894.52,0.7219290784756863,851.3186239999997,3.0918400000000426
1782375875.9802258,3,692.0,894.36,0.773737643931149,1194.9850062222224,1.799616000000016
1782375878.240726,3,709.06,882.76,0.8032307752920037,4232.195509333334,5.163544888888856
1782375880.200934,3,703.68,891.46,0.7893567846124819,1251.8040462222211,1.6143288888889098
1782375882.1253922,3,696.64,889.32,0.7833400791803399,3770.7125048888897,10.538008888888836
1782375884.4619558,3,765.72,887.72,0.8625692776296926,1879.4050559999994,3.6331662222221985
1782375886.6421852,2,588.26,893.4,0.6584508611389626,8.77998933333335,56.383086222222296
1782375888.8423557,2,585.6,864.4,0.6774641361898842,8.356853333333374,27.429944888889008
1782375891.1428144,2,585.48,876.2,0.6682036057199229,5.971850666666659,110.14594488888879
1782375896.6638887,2,587.18,887.04,0.6619543643331142,6.264206222222176,96.4012622222221
1782375903.7650747,2,591.52,894.0,0.6616554802442333,2.5188515555555466,44.55758933333335
1782375906.005291,2,591.28,900.42,0.6566713304272769,3.281006222222177,73.50030222222236
1782375908.2246284,2,589.9,914.9,0.6447699195051154,4.011616000000028,34.70331733333337
1782375910.364841,2,585.5,900.18,0.6504254697389128,6.732078222222162,31.46743822222211
1782375912.4452662,2,577.04,908.48,0.6351708341018285,1.4371448888888756,68.42347733333327
1782375914.5770023,2,582.94,912.5,0.6388383554642868,8.361688888888922,24.79812622222224
