Timestamp,Label,Inner_Env,Outer_Env
1782282932.7001836,1,1785.78,692.84
1782282939.7203803,1,1793.32,558.2
1782282942.7572749,1,1792.14,559.04
1782282948.7593422,1,1781.8,563.86
1782282952.8400154,1,1781.62,778.92
1782282955.7994847,1,1783.64,751.5
1782282958.83975,1,1782.88,808.24
1782282961.2561443,1,1790.58,784.6
1782282964.0996308,1,1801.16,735.6
1782282967.0195222,1,1806.54,684.0
1782282969.5798814,1,1804.62,725.76
1782282972.0781958,1,1813.98,678.78
1782282974.6789093,1,1811.58,691.22
1782282978.3795078,1,1811.6,677.44
1782282981.6798706,1,1812.62,639.0
1782282983.7998388,1,1818.24,573.82
1782282986.6798265,1,1814.64,628.4
1782282988.380443,1,1810.7,633.78
1782282990.7566576,1,1804.8,577.54
1782282993.0195186,1,1805.92,603.98
1782282998.4393983,4,1792.26,290.74
1782283009.279218,4,1801.94,290.58
1782283011.3399642,4,1807.54,306.44
1782283013.2797987,4,1806.5,322.98
1782283015.4797163,4,1813.24,368.66
1782283017.4993572,4,1813.84,372.9
1782283019.5594654,4,1818.64,351.42
1782283021.3594017,4,1818.06,335.86
1782283023.1987765,4,1840.84,343.42
1782283024.8990948,4,1812.24,361.22
1782283026.5587776,4,1824.54,344.62
1782283028.3391466,4,1830.0,351.74
1782283030.1785574,4,1811.84,373.0
1782283031.978982,4,1825.84,395.66
1782283033.6593592,4,1827.38,373.78
1782283035.4796894,4,1815.64,342.3
1782283037.0993404,4,1816.84,408.04
1782283038.6792507,4,1793.96,441.28
1782283040.459695,4,1811.6,466.06
1782283042.1397955,4,1810.48,527.9
1782283046.4369578,3,1822.34,575.12
1782283049.1800606,3,1829.9,552.5
1782283051.5781064,3,1833.64,513.9
1782283054.0998347,3,1841.24,494.58
1782283056.2790759,3,1855.92,995.36
1782283059.2179086,3,1838.62,956.1
1782283061.6788194,3,1827.98,958.38
1782283064.6399794,3,1810.26,980.78
1782283066.9954646,3,1826.48,1006.24
1782283070.3598146,3,1822.38,1080.46
1782283073.1592262,3,1814.02,1108.32
1782283075.35925,3,1834.44,1099.38
1782283077.65916,3,1829.14,1083.18
1782283079.959212,3,1845.24,1151.38
1782283082.0584378,3,1836.0,1097.74
1782283084.0593328,3,1864.72,1094.08
1782283086.1597679,3,1853.46,1084.6
1782283088.239865,3,1845.14,1110.18
1782283090.3795884,3,1838.32,1105.64
1782283092.5191844,3,1832.84,1132.08
1782283096.8796268,2,1836.08,1455.04
1782283098.9564815,2,1830.34,1475.38
1782283104.958675,2,1820.66,1681.38
1782283106.919295,2,1824.2,1614.14
1782283109.179179,2,1826.28,1565.04
1782283111.4183645,2,1826.24,1561.48
1782283113.4788096,2,1823.22,1477.38
1782283115.798828,2,1820.38,1462.06
1782283117.7190847,2,1822.2,1458.08
1782283120.2791622,2,1820.4,1462.54
1782283122.2756534,2,1819.84,1445.96
1782283124.2590485,2,1823.58,1463.72
1782283129.2372568,2,1825.14,1440.08
1782283133.139632,2,1813.34,1294.08
1782283135.9990785,2,1818.14,1266.54
1782283138.4788609,2,1822.12,1280.52
1782283140.9989364,2,1821.46,1176.84
1782283143.3992665,2,1820.24,1174.28
1782283145.8988097,2,1820.18,1176.66
1782283148.0390651,2,1819.44,1149.7
