Timestamp,Inner_Env,Outer_Env,Index_Dist,Mid_Dist,Ring_Dist,Pinky_Dist,Label
1775544752.512745,0.0,0.0,0.2124159261988551,0.2916368651745445,0.307436054727729,0.3411568622406865,0
1775544752.576214,258.2,819.42,0.2144307951637663,0.2859353434790777,0.3030230856065361,0.3407723112750321,0
1775544752.6012273,254.26,819.38,0.2081528021455425,0.2843111186447256,0.3003013441647932,0.3431376465405803,0
1775544752.637418,256.62,819.78,0.2095101351073142,0.2838433119522838,0.3040221273028493,0.3428696146340853,0
1775544752.6883557,252.82,819.32,0.2084857257949821,0.2838616686212061,0.3028155653469572,0.3454285129884241,0
1775544752.720322,255.04,819.96,0.2097495248217938,0.286583527343756,0.304800819409975,0.3433789689963564,0
1775544752.7570395,251.26,819.58,0.2111252090430828,0.2875639201434224,0.3055940789210339,0.3446460462884367,0
1775544752.7846377,253.62,819.76,0.2116203692222399,0.2859025651120027,0.305385897863096,0.3458168974659434,0
1775544752.822175,251.14,819.54,0.210231272910099,0.2846934753493969,0.3011871556582132,0.3430598000686893,0
1775544752.8473184,252.32,819.78,0.209720745410548,0.2838410420851954,0.3031718602050954,0.3417013091267207,0
1775544752.8801394,248.96,819.66,0.2108044729506343,0.2870641159271735,0.3054704262075692,0.3450712691313933,0
1775544752.911257,250.74,819.96,0.2120543961609869,0.2863781022688826,0.3043200232118488,0.3434606698041236,0
1775544752.943122,246.64,819.72,0.208901574589239,0.2843398891438456,0.3039502386203405,0.3428445290762604,0
1775544752.976215,249.24,820.34,0.213722139916085,0.2887447300155942,0.3066067172453695,0.3462877261310289,0
1775544753.008031,245.3,819.94,0.2123283880399837,0.287884310781928,0.3066876957015017,0.3469925480453417,0
1775544753.0415816,246.68,820.02,0.2118307129581775,0.2882414208222225,0.3074142213043332,0.3457866061897354,0
1775544753.087212,241.62,819.98,0.2130168619554602,0.2880861293901351,0.3062044073569235,0.345463038481438,0
1775544753.1221318,275.64,820.54,0.2137866977409023,0.2907872257526623,0.3091778779283433,0.3466362134725044,0
1775544753.1514578,315.76,820.2,0.2152375863747728,0.2916796472748411,0.3103441403130883,0.3501721467162277,0
1775544753.1843386,349.62,820.46,0.2167059748564596,0.2928675340368585,0.3103106258282126,0.35055426097526,0
1775544753.2164352,390.08,820.54,0.2171241628150814,0.2931827529728484,0.3118098571479153,0.353679482718033,0
1775544753.2493966,423.68,820.26,0.2171463758170516,0.2924545736665101,0.313208748900741,0.3518531756513725,0
1775544753.2804503,466.34,820.54,0.2156478918287611,0.2954366346821719,0.3135635646854756,0.351500947061275,0
1775544753.3120904,499.84,820.2,0.2159133170926078,0.2976258742125576,0.314964589043528,0.3532806511346071,0
1775544753.3434489,542.22,820.64,0.2203874246676434,0.3012243966249783,0.3185361913104554,0.3545236280499882,0
1775544753.376201,574.76,820.38,0.2199028778038344,0.3030018723224461,0.3228791567494055,0.3594220008918296,0
1775544753.4072392,618.02,821.02,0.2256602428807095,0.3063592064467795,0.325204435716063,0.3663909042770099,0
1775544753.44125,650.88,821.08,0.2238366762084341,0.307707122449391,0.3256616385386283,0.3670497394742774,0
1775544753.4869854,694.56,821.38,0.2326179410846963,0.3166101004768918,0.3345036902076146,0.3714663623246971,0
1775544753.521474,727.34,821.16,0.2320444634392702,0.3213631717153638,0.339214575135185,0.3762121689449997,0
1775544753.5576415,770.02,821.16,0.2363365138107556,0.3228709775254402,0.3380495239008294,0.3819045625126513,0
1775544753.5832756,801.74,821.14,0.2295029006611224,0.3199947167176453,0.3400119427105753,0.3848033515602344,0
1775544753.6182,844.44,821.22,0.2369332218534821,0.3278874855720279,0.3477303523930786,0.3918758500647022,0
1775544753.6418426,876.4,821.18,0.2414277689287797,0.3302884843695559,0.3499886979307002,0.3919071109493487,0
1775544753.7147098,919.4,821.54,0.24887033670097,0.3348796183274476,0.354389515610644,0.3953538363445703,0
1775544753.7440927,949.6,821.22,0.2490039836191521,0.3357416037451823,0.3553056554389235,0.3939784796841685,0
1775544753.7774632,993.78,821.7,0.247500104567982,0.3364815879981619,0.3544241674533047,0.3935438608114248,0
1775544753.808688,993.78,821.52,0.2458174388925572,0.3337096742707597,0.3528160733370865,0.3931676083885529,0
1775544753.8425322,993.78,822.26,0.2480272737505612,0.3364869590326859,0.3555927539267496,0.3962917007837118,0
1775544753.888441,1023.54,822.16,0.2523831412012394,0.3418546197892738,0.3610255359373277,0.3990010453573346,0
1775544753.921421,1066.54,822.34,0.2537826546325793,0.3401798261997872,0.3550671538616624,0.3929987520334693,0
1775544753.9522536,1098.64,821.88,0.2547142719743765,0.3432923357486375,0.3572223554720253,0.3924234804447719,0
1775544753.9840422,1141.28,822.58,0.2516993980185626,0.3394307136144477,0.3540790995467351,0.3895403435031188,0
1775544754.0164757,1172.7,822.84,0.2498379383976728,0.3335712585439608,0.3489334886480854,0.3859801628798554,0
1775544754.0501022,1215.94,818.64,0.2514325778576823,0.3354592711203158,0.3493735472823188,0.3878359182875316,0
1775544754.096303,1248.52,822.24,0.2456488990977957,0.3328491305059026,0.3471707385184241,0.384519251583846,0
1775544754.1281707,1291.14,814.76,0.2447160121654643,0.3330876837699711,0.3442491261412176,0.3817509970317107,0
1775544754.160104,1323.0,818.2,0.2471531786108203,0.335766944840447,0.3463977019667191,0.3845433604213432,0
1775544754.1921735,1365.94,810.74,0.2486142477201549,0.3310355747431335,0.3449974774242956,0.381494725232296,0
1775544754.2241642,1398.24,814.66,0.2484452596268445,0.3336834313518221,0.3459103162589604,0.3832636621448126,0
1775544754.25619,1441.16,807.4,0.2502952393320228,0.335116426490911,0.3466691125215699,0.3831382897111749,0
1775544754.288371,1476.42,811.3,0.2503123685679236,0.3394557178548673,0.3452462729652953,0.3847126660081406,0
1775544754.3202536,1519.74,803.82,0.2483726199422565,0.3361084263351162,0.3437499244390323,0.3839766111885819,0
1775544754.352172,1551.24,808.46,0.2476354440776858,0.3362364428574196,0.3408411621494483,0.3820164094336006,0
1775544754.384082,1594.62,800.12,0.2492769477521494,0.3365159753700228,0.3426943439857062,0.3836767867712395,0
1775544754.4175282,1625.98,804.54,0.2478163235152839,0.3376899013779115,0.3429101122697684,0.3841478812444396,0
1775544754.4483037,1669.84,796.28,0.2491226768190201,0.3359122711099734,0.3418283928014713,0.384094110063012,0
1775544754.4819975,1701.54,800.16,0.248550101642481,0.3349702893177604,0.3425112786630626,0.3839228391518899,0
1775544754.5282006,1743.26,792.82,0.2491638869611655,0.3390637584413732,0.3444448888824182,0.3873646293763939,0
1775544754.561787,1776.1,796.26,0.2494741619116292,0.3379644820914277,0.3426305656026737,0.3856623182284921,0
1775544754.5923002,1819.36,788.6,0.2513707007942165,0.3404395972456831,0.3454273241789511,0.3881078579241096,0
1775544754.6242237,1851.0,792.28,0.2512488798459338,0.3398088047313374,0.3433054993250051,0.3899566040339715,0
1775544754.655314,1894.46,785.34,0.2496077613386285,0.3392812589153392,0.3418664623606393,0.3894859044457555,0
1775544754.6885707,1926.36,788.76,0.2526652677317302,0.3419501977093793,0.342211468883089,0.3897376924165929,0
1775544754.7194448,1970.1,782.3,0.2545071667679561,0.3449878588352735,0.3434316913211047,0.390943206398535,0
1775544754.7522683,2002.42,785.8,0.2549491080709232,0.3495611547346248,0.3459177528167072,0.3922095724496827,0
1775544754.7844858,2047.0,778.54,0.2520999513434026,0.3467375551017908,0.3456858377176844,0.3932922168987592,0
1775544754.8162937,2047.0,782.04,0.2514980824781482,0.346601938357983,0.3442745147150318,0.3886650941590294,0
1775544754.849903,2047.0,774.58,0.2495832282111149,0.3390286048184527,0.3420439343054753,0.3895627100026613,0
1775544754.8952086,2047.0,778.46,0.2478637046536649,0.3414897971288224,0.3422858734517924,0.3868757814486844,0
1775544754.928561,2047.0,770.56,0.2525468908053934,0.34686607869236,0.348344336392671,0.3911220879691325,0
1775544754.9606924,2047.0,774.74,0.2498479877107781,0.3405617616685705,0.3422024146889451,0.3902570019429027,0
1775544754.994335,2047.0,766.02,0.2488196300750603,0.3440080667206502,0.3436912399512533,0.3875065123339716,0
1775544755.0407145,2047.0,771.0,0.2486825566230369,0.3437316629714579,0.3419991076141008,0.3902611749194661,0
1775544755.0737755,2047.0,762.26,0.250190025412884,0.3455213743660901,0.3416952009779893,0.3880901830867581,0
1775544755.1044202,2047.0,767.52,0.2515348615673814,0.3489047393295632,0.3448084180543952,0.391449616154952,0
1775544755.1407502,2047.0,758.56,0.2545841879283582,0.347223770420234,0.3448129051175971,0.3896487663421861,0
1775544755.171521,2047.0,763.12,0.2570738987883723,0.3491598872547004,0.3482446878834966,0.3923809253477538,0
1775544755.2176535,2047.0,754.76,0.251853578980466,0.3472236294218443,0.3436537972204415,0.3893878417309845,0
1775544755.24821,2047.0,759.66,0.2542041047872281,0.3500080278212,0.3463283472676495,0.3917716533312151,0
1775544755.2819502,2047.0,750.72,0.2567494793577035,0.3496943158222113,0.3485514837678665,0.3914657140075156,0
1775544755.328327,2047.0,755.6,0.2498218001192322,0.346459705680151,0.348623156551694,0.395319222655538,0
1775544755.359335,2047.0,746.16,0.2499577051401547,0.3457802168979101,0.3485740805986722,0.3933457243397258,0
1775544755.3924036,2047.0,751.48,0.2486075688673888,0.3452995325511918,0.3480625485646098,0.3956930519312014,0
1775544755.42624,2047.0,741.54,0.2482416444347896,0.346732199353294,0.3498499301070017,0.3906256016413095,0
1775544755.4715688,2047.0,747.14,0.2476639637778184,0.3451339567022788,0.3513933131478073,0.3932699152553461,0
1775544755.5044086,2047.0,737.26,0.2523184501826774,0.3461313935078807,0.3502535337024787,0.3966963375653949,0
1775544755.5408645,2047.0,742.88,0.2494951872646272,0.3461835189129178,0.3525650818275422,0.3951556211145152,0
1775544755.569801,2047.0,732.84,0.2485736093059886,0.3433811394781908,0.3503183339928519,0.3938331405402098,0
1775544755.6163278,2047.0,738.5,0.2466878032289908,0.3442233330465757,0.3507673530751124,0.3930094794155256,0
1775544755.6475086,2047.0,728.52,0.23963256370779,0.3373578740366643,0.3487118720416162,0.3903583873494869,0
1775544755.6803749,2047.0,734.16,0.244336148560221,0.3395705439642918,0.3491657990986184,0.3885958522736403,0
